nid,xx,xy,xz,vx,vy,vz,ns
585,0.9775700216675971,0.08157799179855416,0.1941697298523351,-0.08001489196137929,0.9966669610527455,-0.015892948445577086,+Y
590,0.9758764310021044,0.08168003756723129,0.20246867134846022,-0.07997685795724627,0.996658603265439,-0.016593092787987686,+Y
600,0.9724965251063773,0.08184650372457192,0.2180634276628819,-0.07986338638045758,0.9966449467227854,-0.017907810803727768,+Y
605,0.9707861221566013,0.0819853051409667,0.22550546505371202,-0.0798590388442251,0.9966335383384118,-0.01855058419387292,+Y
610,0.9686390369199414,0.08212561448634859,0.2345075683214683,-0.07981970819558841,0.9966219862341186,-0.019324356090992124,+Y
615,0.9666077031691808,0.08226544412926494,0.242697228818575,-0.07978886002412516,0.9966104538395204,-0.02003349978999606,+Y
620,0.9647598058754293,0.0824714442222874,0.24987392391983235,-0.07983710535962696,0.9965934280778146,-0.020677904146834788,+Y
630,0.9619186850178776,0.08240126982507522,0.26061940477388146,-0.07953379704566897,0.9965992327566859,-0.02154865184375091,+Y
631,0.960800710170109,0.08311876693139693,0.26448679725161767,-0.08013787553199524,0.9965396482748713,-0.02206015234340695,+Y
632,0.9608665005775976,0.08223186299343593,0.26452502485850093,-0.07928235390618465,0.9966132252326521,-0.021826306386232782,+Y
633,0.960866920144389,0.08304545753413477,0.26426920697497597,-0.0800722216754105,0.9965457601048465,-0.02202242795464893,+Y
635,0.9606468176396724,0.08223177513959135,0.2653217422605276,-0.07926414231929163,0.996613232481584,-0.02189202103496602,+Y
636,0.9607129947711571,0.08215863792413995,0.26510469609624926,-0.07919862068118831,0.9966192644206965,-0.02185452510916624,+Y
637,0.9608006200940677,0.08312020095683681,0.26448667380371027,-0.08013926023448024,0.9965395286655192,-0.02206052529236757,+Y
638,0.9608007788630745,0.08312002526176426,0.26448615225866356,-0.08013910290459496,0.9965395433200248,-0.022060434836219098,+Y
640,0.9623066328791413,0.10311958090231983,0.25165908755961813,-0.09976450464269532,0.9946689660558079,-0.026090066670434352,+Y
641,0.9608007101357772,0.08311876536197489,0.2644867978695485,-0.08013787400546732,0.9965396484057727,-0.022060151975516456,+Y
642,0.9608669435286521,0.08304523648218073,0.26426919141573185,-0.08007200900623776,0.9965457785258129,-0.022022367631258474,+Y
643,0.9606464003510291,0.0822318635436945,0.26532322572805683,-0.07926419368212273,0.9966132251872495,-0.02189216713328596,+Y
644,0.9606464468206042,0.08223212996983109,0.26532297490336776,-0.07926445607587934,0.9966132032040439,-0.021892217849505048,+Y
646,0.960800654101596,0.08311863247412904,0.26448704318657296,-0.08013774031840974,0.9965396594895913,-0.02206013692225108,+Y
647,0.9608666323299576,0.0822318635436945,0.2645245461068165,-0.07928236531137821,0.9966132251872495,-0.02182626703084991,+Y
648,0.9608670094300638,0.08304523648218073,0.26426895180203136,-0.08007201449800586,0.9965457785258129,-0.02202234766350902,+Y
649,0.960580499542217,0.0831188988015936,0.265285417166559,-0.08011963633527566,0.9965396372759141,-0.02212679849170983,+Y
652,0.9609328672891404,0.08215846221500372,0.26430666213687704,-0.07921657581721556,0.9966192789056741,-0.02178869039959802,+Y
653,0.9608006192272696,0.08312020516628371,0.2644866756296246,-0.08013926424890008,0.9965395283144141,-0.0220605265696461,+Y
654,0.960800553271566,0.08312020516628371,0.2644869152267602,-0.08013925874761142,0.9965395283144141,-0.022060546554165034,+Y
660,0.9561334367061786,0.08318927568216417,0.2808707810077596,-0.07981671154920367,0.9965337648125511,-0.02344670863883306,+Y
665,0.9539464456737125,0.08333289775223814,0.28816975368470893,-0.07977258942969262,0.9965217650168083,-0.024097838564208836,+Y
685,0.9484901137592993,0.0849108567715468,0.3052157441928473,-0.08082901800030312,0.9963885519225529,-0.02601006433642197,+Y
690,0.9458440804122615,0.08411618768874711,0.31353379804702824,-0.0798437682314901,0.9964559533510307,-0.026467068328105827,+Y
695,0.943474032600749,0.08428069543267294,0.3205518900045135,-0.07980057382691005,0.996442052694177,-0.027112802133141004,+Y
700,0.9414856241685412,0.08386177694108068,0.32645370552691977,-0.07923376652537598,0.9964773968175518,-0.027473767013603746,+Y
701,0.9389976363520046,0.08359584543633283,0.3336093127464121,-0.07877202372643857,0.9964997414077862,-0.027986311873068367,+Y
702,0.9386498444997947,0.08453801888611769,0.3343498060165753,-0.07963667732766681,0.9964202543920966,-0.02836681620130586,+Y
704,0.9389311215379686,0.0845383024736567,0.33355902689377914,-0.07966081050769037,0.9964202303319983,-0.028299820748289503,+Y
705,0.9386494163650013,0.08453801888611769,0.3343510079548931,-0.07963664100396997,0.9964202543920966,-0.02836691817583293,+Y
706,0.9387158474263588,0.08359584543633283,0.3344013941603678,-0.07874838459990888,0.9964997414077862,-0.028052759171248786,+Y
720,0.9395495992229198,0.07221098084179674,0.3347120028411237,-0.06802338134641575,0.9973893794531129,-0.02423314557242688,+Y
721,0.9398846953474008,0.0666416817532136,0.33492632877220496,-0.06277504742761966,0.9977769722002525,-0.022369782461094785,+Y
722,0.9396595585538812,0.0675001263226446,0.33538581807338297,-0.0635721300466409,0.9977192655985084,-0.022690335716025783,+Y
723,0.939934451113892,0.0675002742051794,0.33461461502966705,-0.06359086770089012,0.9977192555935891,-0.022638210238936682,+Y
724,0.9398846937168404,0.06664168175452638,0.33492633334769245,-0.06277504731995641,0.9977769722001648,-0.02236978276713495,+Y
726,0.9395571089944561,0.06756352192390427,0.33565996103678775,-0.06362517246862003,0.9977149745820387,-0.022730308469095847,+Y
727,0.9396595071201783,0.06750154458937908,0.3353856767315975,-0.06357346841521079,0.9977191696454709,-0.022690805089553966,+Y
728,0.9399863139892428,0.06658054992104485,0.33465319344827377,-0.06272398688586998,0.99778105332393,-0.022330944828420397,+Y
729,0.9398846472835983,0.06664195853759444,0.3349264085778539,-0.06277530610550172,0.9977769537137413,-0.022369881114726896,+Y
735,0.9416050985781915,0.06651324298525416,0.33008457528206114,-0.06276820625287383,0.9977855423424337,-0.02200372187181415,+Y
745,0.9463973157048632,0.06735694822888119,0.3159037232321284,-0.06389153638846795,0.9977289419102223,-0.021326745007835955,+Y
747,0.94647965830091,0.06591683265085845,0.31596080072672206,-0.06252492541992803,0.9978251205362986,-0.02087253046359533,+Y
750,0.9491904773119072,0.06610448711543152,0.3076810598064161,-0.06288329391238734,0.9978127062646606,-0.020383683757421292,+Y
